text,bias,confidence,source,timestamp
"Brianna Tucker, Dylan Wells, Mariana Alfaro and Maegan VazquezTrump says a second meeting with Putin will likely be more important than Friday’sGet the latest news on President Donald Trump’s second term and the Republican-led Congress.August 13, 2025",Right,0.7570939064025879,washington_post,20250814_154301
AnalysisAaron BlakeMarjorie Taylor Greene for Senate? Why the GOP should be scared.,Left,0.9233949184417725,washington_post,20250814_154301
"Justin JouvenalSupreme Court clears way for Miss. law requiring parental consent to use social media Mississippi passed the law in 2024 after a 16-year-old was victimized by a sextortion scheme and took his own life. August 14, 2025",Left,0.8642989993095398,washington_post,20250814_154301
"AnalysisDan Merica and Matthew ChoiThe one area where Donald Trump loves a criticThe Washington Post’s essential guide to power and influence in D.C. In today’s edition: Trump’s affinity for putting the “critics in charge of the criticized.”August 13, 2025",Right,0.9428818821907043,washington_post,20250814_154301
"Victoria Craw and Victoria BissetHere’s what you need to know about the Trump-Putin summitThe talks in symbolically important Alaska are taking place despite Russian leader Vladimir Putin’s ceasefire refusals and without Ukraine’s Volodymyr Zelensky.August 14, 2025",Right,0.9779133200645447,washington_post,20250814_154301
"Naomi Schanen and Alisa Shodiyev KaffPutin and Trump have met before. Here’s how those encounters went.It will mark the first time the two leaders will meet in person since Russia invaded Ukraine in 2022. Here’s how their other meetings went.August 14, 2025",Right,0.914294958114624,washington_post,20250814_154301
AnalysisAaron BlakeQatar plane gift could awaken Trump’s sleeping ‘corrupt’ problem,Right,0.8968711495399475,washington_post,20250814_154301
"AnalysisAaron BlakeBefore Qatar plane controversy, Trump derided foreign gifts — and Qatar",Right,0.9849830269813538,washington_post,20250814_154301
"Andrew Jeong and Grace MoonWhy is the National Guard in D.C., and what are troops allowed to do?Defense Secretary Pete Hegseth said troops will not get involved in law enforcement but would be “proactive” if they saw something illegal happening. August 13, 2025",Right,0.8703113198280334,washington_post,20250814_154301
AnalysisAaron BlakeThe Republican squirm is in full swing,Left,0.7832735776901245,washington_post,20250814_154301
"Brianna Tucker, Dylan Wells, Mariana Alfaro and Maegan VazquezLive updates: Trump raises possibility of Zelensky joining him and Putin in AlaskaAugust 14, 2025",Right,0.975009560585022,washington_post,20250814_154301
"Brianna Tucker, Dylan Wells, Mariana Alfaro and Maegan VazquezNational Guard sighted in D.C. following Trump’s police takeoverGet the latest news on President Donald Trump’s second term and the Republican-led Congress.August 12, 2025",Right,0.9689013957977295,washington_post,20250814_154301
AnalysisAmber PhillipsFour takeaways from Mamdani’s surprising results,Right,0.96904456615448,washington_post,20250814_154301
AnalysisAaron BlakeThe many big things Trump ‘didn’t know’ about,Right,0.7387326955795288,washington_post,20250814_154301
"AnalysisAaron BlakeTrump’s diciest deportations, examined",Right,0.8260945081710815,washington_post,20250814_154301
"ColumnPaul KaneDemocrats return to recruiting older, familiar facesAugust 14, 2025",Right,0.9750401973724365,washington_post,20250814_154301
"AnalysisAaron BlakeJames Comey, and a sudden shift in what ‘86’ supposedly means",Right,0.9458885788917542,washington_post,20250814_154301
"Annabelle Timsit, Patrick Marley and Yvonne Wingett SanchezFor Texas Democrats, fleeing to fight redistricting comes at a personal costThe lawmakers have faced bomb threats, separation from their families and loss of income — as Republicans threaten another special session to push redistricting.August 14, 2025",Left,0.8022081255912781,washington_post,20250814_154301
"AnalysisDan Merica and Matthew ChoiElectricity prices are surging, opening up a new line of attacks against RepublicansThe Washington Post’s essential guide to power and influence in D.C. In today’s edition: The political ramifications of surging electricity prices.August 14, 2025",Right,0.5787149667739868,washington_post,20250814_154301
"Justin JouvenalAppeals court says Trump officials can withhold billions in foreign aidThe ruling is a significant — if possibly temporary — victory in Trump’s push for greater authority over spending mandated by Congress.August 13, 2025",Left,0.8763474225997925,washington_post,20250814_154301
"Hannah Knowles and Liz GoodwinSherrod Brown plans to run for Senate in Ohio againThe left-leaning populist could help Democrats, who face a difficult 2026 map, as they try to reclaim control of the Senate.August 12, 2025",Left,0.9303047060966492,washington_post,20250814_154301
"AnalysisAaron BlakeIn court, Trump team backs off its public deportation claims",Right,0.9814237952232361,washington_post,20250814_154301
"Mark BermanFederal appeals court clears DOGE to access sensitive records at agencies A panel of the U.S. Court of Appeals for the Fourth Circuit allowed Department of Government Efficiency access to data held by some federal agencies.August 12, 2025",Right,0.7003393173217773,washington_post,20250814_154301
"AnalysisAaron BlakeTrump is making foreign liberals, free trade and immigrants great again",Left,0.9586166739463806,washington_post,20250814_154301
"Cat Zakrzewski, David Ovalle, Scott Dance and Laura MecklerTrump’s answer to numbers he doesn’t like: Change them or throw them awayAugust 14, 2025",Right,0.965691328048706,washington_post,20250814_154301
"Michael BirnbaumWhite House sharply lowers expectations for Trump-Putin summitTrump and aides previously suggested that a deal to end the Ukraine war could be close; now they’re calling Friday’s meeting with Putin a “listening exercise.”August 12, 2025",Right,0.9628434777259827,washington_post,20250814_154301
"Adam TaylorRubio recasts long-held beliefs with cuts to U.S. human rights reportsThe State Department’s annual human rights reports arrive a half-year late with significant cuts and little fanfare from America’s top diplomat.August 12, 2025",Right,0.8871134519577026,washington_post,20250814_154301
