text,bias,confidence,source,timestamp
The Trump Administration,Right,0.6259360909461975,fox,20250814_155204
Capitol Hill,Right,0.715918779373169,fox,20250814_155204
Fox News Politics,Right,0.5926257371902466,fox,20250814_155204
Elections Newsletter,Left,0.7394813299179077,fox,20250814_155204
Special Report with Bret Baier,Right,0.7660472393035889,fox,20250814_155204
Media Buzz,Right,0.9045245051383972,fox,20250814_155204
Fox News First,Right,0.9644397497177124,fox,20250814_155204
Armenia and Azerbaijan leaders seek to ease Russian and Iranian concerns after US-brokered peace deal,Right,0.9750357270240784,fox,20250814_155204
Russian oligarch’s $325M seized superyacht heads to auction as Trump–Putin summit nears,Right,0.9823930263519287,fox,20250814_155204
Could Trump's meeting with Putin be the next Reagan-Gorbachev moment?,Left,0.8172032833099365,fox,20250814_155204
Trump admin unveils groundbreaking tool 'supercharging' gov't efficiency to 'win the race' for AI dominance,Right,0.9707686305046082,fox,20250814_155204
Blue cities in Trump’s crosshairs after DC police takeover,Right,0.9743150472640991,fox,20250814_155204
White House Armenia and Azerbaijan leaders seek to ease Russian and Iranian concerns after US-brokered peace deal,Right,0.9804798364639282,fox,20250814_155204
Russia Russian oligarch’s $325M seized superyacht heads to auction as Trump–Putin summit nears,Right,0.9829111695289612,fox,20250814_155204
Donald Trump Could Trump's meeting with Putin be the next Reagan-Gorbachev moment?,Left,0.5575382709503174,fox,20250814_155204
Artificial Intelligence Trump admin unveils groundbreaking tool 'supercharging' gov't efficiency to 'win the race' for AI dominance,Right,0.9740419387817383,fox,20250814_155204
Washington DC Blue cities in Trump’s crosshairs after DC police takeover,Right,0.9834089279174805,fox,20250814_155204
Gavin Newsom 7 mins ago Newsom unveiling California redistricting effort to counter Trump-backed push in Texas,Right,0.9028839468955994,fox,20250814_155204
"Washington DC 1 hour ago GOP Sen. Markwayne Mullin, former MMA fighter, skips seat belts in DC over carjacking fears",Right,0.9835251569747925,fox,20250814_155204
"Donald Trump 1 hour ago EXCLUSIVE: Trump-aligned legal group files FOIA request for DC crime data, citing alleged manipulation",Right,0.9836929440498352,fox,20250814_155204
VIDEO 1 hour ago Trump rips 'incompetent' Gavin Newsom over California wildfires: 'Wants to build low-income housing',Right,0.9471157789230347,fox,20250814_155204
Social Security 17 hours ago EXCLUSIVE: Trump touts 'zero tax' benefits for majority of seniors on social security’s 90th anniversary,Right,0.75823974609375,fox,20250814_155204
"Politics 1 day ago Trump predicts little progress in potential shutdown talks with 'crazy' Schumer, Jeffries",Right,0.9406636357307434,fox,20250814_155204
White House 3 hours ago Armenia and Azerbaijan leaders seek to ease Russian and Iranian concerns after US-brokered peace deal,Right,0.9818281531333923,fox,20250814_155204
"Opinion 6 hours ago Social Security is 90 years old. We are making it smarter, better, faster under Trump",Left,0.8968781232833862,fox,20250814_155204
Artificial Intelligence 6 hours ago Trump admin unveils groundbreaking tool 'supercharging' gov't efficiency to 'win the race' for AI dominance,Right,0.9770262837409973,fox,20250814_155204
JD Vance 22 hours ago DNC rips JD Vance for fishing with British foreign secretary in latest bizarre attack; Republicans hit back,Right,0.9815332293510437,fox,20250814_155204
Media 22 hours ago Liberal comic who helped popularize podcasting explains why he turned down Hillary Clinton interview,Left,0.7056318521499634,fox,20250814_155204
"White House 1 day ago Vance: Adversaries are ‘afraid’ of US military, and that makes tough talks like Putin possible",Right,0.9669344425201416,fox,20250814_155204
Donald Trump 1 day ago Trump threatens 'very severe' consequences if Russia doesn't agree to end Ukraine war,Right,0.9414870142936707,fox,20250814_155204
"Zohran Mamdani 1 day ago Vulnerable Democrats hammered with scathing ad handcuffing them to Mamdani, Jeffries",Right,0.9680140018463135,fox,20250814_155204
"Media 1 day ago Sean Duffy details spat with Elon Musk over firing air traffic controllers, says cabinet must call shots",Right,0.9843860268592834,fox,20250814_155204
"Media 1 day ago Chuck Todd warns that Dems are falling into Trump’s trap, 'taking the bait' on redistricting",Right,0.7622211575508118,fox,20250814_155204
"Ghislaine Maxwell 1 day ago House Democrat presses DOJ on Ghislaine Maxwell prison transfer, meeting with top official",Right,0.9574310779571533,fox,20250814_155204
White House 1 day ago Vance visits US troops during high-stakes UK trip ahead of Trump's Putin meeting,Right,0.9859651327133179,fox,20250814_155204
Politics 1 day ago Former Navy SEAL Rep. Eli Crane fires off message for ex-President Obama: 'Probably best to sit this one out',Right,0.9671778082847595,fox,20250814_155204
"Media 1 day ago New report accuses bureaucrats of running ‘shadow government’ pushing DEI, gender ideology in red states",Left,0.5989429354667664,fox,20250814_155204
"Fox News Politics Get the latest updates from the 2024 campaign trail, exclusive interviews and more Fox News politics content. Arrives Weekdays By entering your email and clicking the Subscribe button, you agree to the Fox News Privacy Policy and Terms of Use , and agree to receive content and promotional communications from Fox News. You understand that you can opt-out at any time. Subscribe Subscribed",Left,0.9039478302001953,fox,20250814_155204
Elections Newsletter 21 hours ago Fox News Politics Newsletter: Attempts to end war,Right,0.8906751275062561,fox,20250814_155204
Elections Newsletter 1 day ago Fox News Politics Newsletter: Trump vs Newsom showdown,Right,0.8778218030929565,fox,20250814_155204
Elections Newsletter 5 days ago Fox News Politics Newsletter: Walz under fire for axe murderer's release,Right,0.9547739624977112,fox,20250814_155204
17 hours ago Soaring electric prices at center of New Jersey gubernatorial race,Right,0.9319204092025757,fox,20250814_155204
"18 hours ago Russian economy is in ‘dire straits’ and they don’t have all the cards in Ukraine war, says former secretary of state",Right,0.9693069458007812,fox,20250814_155204
18 hours ago Trump warns Putin of consequences if Ukraine invasion does not end,Right,0.9672077298164368,fox,20250814_155204
18 hours ago DC crime victim says federal takeover is necessary,Right,0.9736472964286804,fox,20250814_155204
"Donald Trump as strongman, riling up his base and investigating his enemies",Right,0.8585572838783264,fox,20250814_155204
Trump says he'll know 'in the first two minutes' if Ukraine peace deal is possible with Putin,Right,0.8906022906303406,fox,20250814_155204
"Fox News First Get all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox. Arrives Weekdays By entering your email and clicking the Subscribe button, you agree to the Fox News Privacy Policy and Terms of Use , and agree to receive content and promotional communications from Fox News. You understand that you can opt-out at any time. Subscribe Subscribed",Left,0.9115806818008423,fox,20250814_155204
